contract_id,account_id,start_date,end_date,contract_term_months,acv__c,number_of_licenses__c
800000000000132AAA,001000000000132AAA,2024-02-05,2025-02-04,12,2862.00,3
800000000000134AAA,001000000000134AAA,2022-07-25,2024-07-24,24,3380.64,2
800000000000135AAA,001000000000135AAA,2025-09-26,2026-09-25,12,7214.76,3
800000000000136AAA,001000000000136AAA,2023-12-09,2024-12-08,12,7970.40,5
800000000000137AAA,001000000000137AAA,2025-12-27,2026-12-26,12,16419.48,7
800000000000138AAA,001000000000138AAA,2023-06-12,2025-06-11,24,2400.72,2
800000000000139AAA,001000000000139AAA,2025-11-13,2026-11-12,12,7059.84,8
800000000000141AAA,001000000000141AAA,2024-05-26,2025-05-25,12,797.88,1
800000000000142AAA,001000000000142AAA,2026-01-28,2027-01-27,12,2522.88,3
800000000000143AAA,001000000000143AAA,2022-09-17,2024-09-16,24,5483.88,3
800000000000144AAA,001000000000144AAA,2023-12-30,2024-12-29,12,1418.16,2
800000000000146AAA,001000000000146AAA,2024-10-28,2026-10-27,24,4549.20,2
800000000000147AAA,001000000000147AAA,2026-03-20,2027-03-19,12,10817.76,2
800000000000148AAA,001000000000148AAA,2026-05-10,2027-05-09,12,1778.64,2
800000000000152AAA,001000000000152AAA,2025-08-23,2026-08-22,12,6700.68,3
800000000000154AAA,001000000000154AAA,2024-10-21,2025-10-20,12,8256.48,4
800000000000155AAA,001000000000155AAA,2024-07-01,2027-06-30,36,4780.80,5
800000000000156AAA,001000000000156AAA,2025-09-30,2027-09-29,24,11338.32,7
800000000000158AAA,001000000000158AAA,2025-06-04,2028-06-03,36,7973.28,3
800000000000162AAA,001000000000162AAA,2025-05-12,2026-05-11,12,30787.20,5
800000000000163AAA,001000000000163AAA,2023-12-21,2025-12-20,24,5512.80,1
800000000000164AAA,001000000000164AAA,2025-10-20,2026-10-19,12,702.00,1
800000000000166AAA,001000000000166AAA,2025-12-21,2026-12-20,12,4572.00,2
800000000000167AAA,001000000000167AAA,2023-04-06,2025-04-05,24,3998.16,2
800000000000168AAA,001000000000168AAA,2024-04-22,2026-04-21,24,4723.20,2
800000000000170AAA,001000000000170AAA,2026-04-23,2027-04-22,12,10051.20,12
800000000000171AAA,001000000000171AAA,2026-04-06,2027-04-05,12,14812.08,2
800000000000172AAA,001000000000172AAA,2023-10-22,2026-10-21,36,4038.72,2
800000000000173AAA,001000000000173AAA,2024-09-22,2026-09-21,24,4521.00,5
800000000000174AAA,001000000000174AAA,2025-03-08,2026-03-07,12,12697.68,2
800000000000176AAA,001000000000176AAA,2025-01-20,2026-01-19,12,21724.32,4
800000000000178AAA,001000000000178AAA,2026-02-04,2027-02-03,12,34035.84,12
800000000000180AAA,001000000000180AAA,2024-12-23,2026-12-22,24,13838.04,9
800000000000181AAA,001000000000181AAA,2026-04-07,2027-04-06,12,1835.76,1
800000000000182AAA,001000000000182AAA,2024-08-10,2027-08-09,36,1481.52,1
800000000000184AAA,001000000000184AAA,2025-11-09,2026-11-08,12,24892.92,3
800000000000186AAA,001000000000186AAA,2022-08-29,2025-08-28,36,7350.00,2
800000000000188AAA,001000000000188AAA,2024-03-15,2025-03-14,12,2949.60,4
800000000000191AAA,001000000000191AAA,2025-03-10,2026-03-09,12,5302.08,6
800000000000192AAA,001000000000192AAA,2025-09-17,2026-09-16,12,1672.56,2
800000000000193AAA,001000000000193AAA,2023-11-29,2024-11-28,12,9858.60,5
800000000000194AAA,001000000000194AAA,2026-01-12,2027-01-11,12,27346.56,4
800000000000195AAA,001000000000195AAA,2022-12-19,2024-12-18,24,26366.40,5
800000000000197AAA,001000000000197AAA,2025-03-02,2026-03-01,12,5115.96,3
800000000000198AAA,001000000000198AAA,2024-05-12,2025-05-11,12,4324.32,2
800000000000199AAA,001000000000199AAA,2026-02-28,2027-02-27,12,25505.40,5
800000000000200AAA,001000000000200AAA,2024-10-20,2025-10-19,12,5148.72,6
800000000000201AAA,001000000000201AAA,2024-10-27,2025-10-26,12,2651.40,3
800000000000203AAA,001000000000203AAA,2026-04-30,2028-04-29,24,891.60,1
800000000000204AAA,001000000000204AAA,2023-08-05,2024-08-04,12,708.60,1
800000000000205AAA,001000000000205AAA,2026-03-22,2027-03-21,12,11878.56,6
800000000000206AAA,001000000000206AAA,2026-05-03,2027-05-02,12,7326.72,8
800000000000207AAA,001000000000207AAA,2023-08-07,2024-08-06,12,10095.60,5
800000000000208AAA,001000000000208AAA,2024-09-28,2026-09-27,24,27442.08,12
800000000000209AAA,001000000000209AAA,2025-02-02,2026-02-01,12,6678.00,7
800000000000210AAA,001000000000210AAA,2023-08-07,2024-08-06,12,11329.92,6
800000000000211AAA,001000000000211AAA,2025-11-23,2026-11-22,12,9619.20,6
800000000000213AAA,001000000000213AAA,2024-08-10,2025-08-09,12,10309.80,5
800000000000215AAA,001000000000215AAA,2025-08-13,2027-08-12,24,18585.00,5
800000000000217AAA,001000000000217AAA,2026-02-06,2027-02-05,12,3916.20,1
800000000000218AAA,001000000000218AAA,2025-09-02,2026-09-01,12,19141.44,8
800000000000223AAA,001000000000223AAA,2023-09-21,2024-09-20,12,7632.96,1
800000000000226AAA,001000000000226AAA,2026-05-08,2027-05-07,12,2468.52,3
800000000000228AAA,001000000000228AAA,2026-01-04,2029-01-03,36,38362.68,9
800000000000229AAA,001000000000229AAA,2024-06-23,2025-06-22,12,2160.72,3
800000000000230AAA,001000000000230AAA,2023-11-15,2025-11-14,24,4921.44,2
800000000000231AAA,001000000000231AAA,2024-09-24,2025-09-23,12,1261.92,2
800000000000232AAA,001000000000232AAA,2026-02-19,2027-02-18,12,7088.40,5
800000000000234AAA,001000000000234AAA,2024-01-13,2025-01-12,12,11257.20,5
800000000000237AAA,001000000000237AAA,2024-07-06,2025-07-05,12,10192.20,5
800000000000238AAA,001000000000238AAA,2026-04-24,2027-04-23,12,2520.00,2
800000000000239AAA,001000000000239AAA,2026-05-06,2027-05-05,12,4167.36,2
800000000000240AAA,001000000000240AAA,2022-02-07,2025-02-06,36,1651.68,1
800000000000241AAA,001000000000241AAA,2025-12-09,2026-12-08,12,3214.08,4
800000000000244AAA,001000000000244AAA,2023-11-12,2024-11-11,12,19149.48,7
800000000000245AAA,001000000000245AAA,2024-01-31,2025-01-30,12,9672.00,5
800000000000246AAA,001000000000246AAA,2026-02-14,2027-02-13,12,3133.92,4
800000000000248AAA,001000000000248AAA,2025-11-17,2026-11-16,12,22102.08,8
800000000000249AAA,001000000000249AAA,2025-02-14,2027-02-13,24,16990.92,3
800000000000250AAA,001000000000250AAA,2024-10-19,2026-10-18,24,8781.84,1
800000000000251AAA,001000000000251AAA,2026-04-06,2027-04-05,12,734.16,1
800000000000255AAA,001000000000255AAA,2026-04-21,2027-04-20,12,40205.16,9
800000000000263AAA,001000000000263AAA,2025-08-08,2027-08-07,24,27078.84,3
800000000000264AAA,001000000000264AAA,2021-09-13,2024-09-12,36,54916.56,6
800000000000266AAA,001000000000266AAA,2025-04-27,2026-04-26,12,3462.00,5
800000000000269AAA,001000000000269AAA,2025-09-27,2026-09-26,12,60232.32,16
800000000000274AAA,001000000000274AAA,2023-11-06,2025-11-05,24,16198.32,2
800000000000275AAA,001000000000275AAA,2025-12-17,2026-12-16,12,8104.20,5
800000000000276AAA,001000000000276AAA,2025-08-26,2026-08-25,12,3766.80,2
800000000000277AAA,001000000000277AAA,2023-08-15,2024-08-14,12,13654.80,6
800000000000278AAA,001000000000278AAA,2025-12-18,2026-12-17,12,22489.44,4
800000000000281AAA,001000000000281AAA,2026-02-08,2027-02-07,12,983.88,1
800000000000283AAA,001000000000283AAA,2023-01-08,2026-01-07,36,11028.96,2
800000000000284AAA,001000000000284AAA,2026-04-29,2027-04-28,12,4978.80,5
800000000000285AAA,001000000000285AAA,2025-08-22,2027-08-21,24,7365.60,3
800000000000286AAA,001000000000286AAA,2024-05-18,2025-05-17,12,27587.16,3
800000000000288AAA,001000000000288AAA,2025-12-30,2026-12-29,12,5664.12,1
800000000000289AAA,001000000000289AAA,2024-12-25,2025-12-24,12,2358.00,3
800000000000290AAA,001000000000290AAA,2026-04-10,2027-04-09,12,8136.00,2
800000000000291AAA,001000000000291AAA,2025-12-29,2027-12-28,24,2520.00,2
800000000000293AAA,001000000000293AAA,2024-09-11,2026-09-10,24,4965.12,3
800000000000294AAA,001000000000294AAA,2025-09-11,2026-09-10,12,28101.00,5
800000000000295AAA,001000000000295AAA,2025-12-01,2026-11-30,12,2520.00,2
800000000000296AAA,001000000000296AAA,2024-08-15,2026-08-14,24,31100.40,5
800000000000297AAA,001000000000297AAA,2024-09-26,2025-09-25,12,18490.80,10
800000000000298AAA,001000000000298AAA,2024-12-04,2025-12-03,12,20175.84,12
800000000000299AAA,001000000000299AAA,2024-12-27,2025-12-26,12,7476.96,4
800000000000300AAA,001000000000300AAA,2024-05-23,2025-05-22,12,62377.92,8
800000000000301AAA,001000000000301AAA,2022-01-04,2025-01-03,36,5195.16,3
800000000000305AAA,001000000000305AAA,2025-12-09,2026-12-08,12,3157.92,3
800000000000308AAA,001000000000308AAA,2023-11-22,2024-11-21,12,9354.60,5
800000000000309AAA,001000000000309AAA,2025-01-12,2027-01-11,24,930.96,1
800000000000310AAA,001000000000310AAA,2026-04-02,2027-04-01,12,3270.84,1
800000000000313AAA,001000000000313AAA,2025-12-04,2026-12-03,12,3267.72,3
800000000000314AAA,001000000000314AAA,2025-08-04,2027-08-03,24,5013.60,2
800000000000315AAA,001000000000315AAA,2026-01-05,2028-01-04,24,10297.44,2
800000000000316AAA,001000000000316AAA,2026-03-20,2027-03-19,12,11458.80,5
800000000000317AAA,001000000000317AAA,2026-04-20,2027-04-19,12,21143.52,3
800000000000318AAA,001000000000318AAA,2025-03-01,2026-02-28,12,8069.28,2
800000000000319AAA,001000000000319AAA,2026-02-28,2027-02-27,12,5625.00,5
800000000000320AAA,001000000000320AAA,2023-06-29,2025-06-28,24,4493.52,6
800000000000325AAA,001000000000325AAA,2025-11-10,2028-11-09,36,4867.80,5
800000000000328AAA,001000000000328AAA,2026-02-20,2027-02-19,12,5250.00,2
800000000000330AAA,001000000000330AAA,2022-04-15,2025-04-14,36,4591.68,2
800000000000331AAA,001000000000331AAA,2025-05-14,2027-05-13,24,25005.00,5
800000000000333AAA,001000000000333AAA,2025-03-28,2027-03-27,24,2130.48,3
800000000000334AAA,001000000000334AAA,2025-09-17,2026-09-16,12,73414.44,11
800000000000335AAA,001000000000335AAA,2025-05-20,2026-05-19,12,10345.80,5
800000000000337AAA,001000000000337AAA,2024-07-07,2025-07-06,12,2748.96,3
800000000000340AAA,001000000000340AAA,2024-09-25,2025-09-24,12,4986.24,8
800000000000341AAA,001000000000341AAA,2025-04-21,2028-04-20,36,3000.96,4
800000000000344AAA,001000000000344AAA,2022-10-06,2024-10-05,24,6004.08,3
800000000000345AAA,001000000000345AAA,2025-02-01,2027-01-31,24,20559.96,9
800000000000346AAA,001000000000346AAA,2026-04-04,2027-04-03,12,9619.20,5
800000000000347AAA,001000000000347AAA,2023-12-29,2024-12-28,12,28875.00,11
800000000000348AAA,001000000000348AAA,2025-11-21,2026-11-20,12,7262.64,3
800000000000351AAA,001000000000351AAA,2024-10-07,2025-10-06,12,10204.20,3
800000000000352AAA,001000000000352AAA,2026-01-02,2027-01-01,12,6235.20,6
800000000000356AAA,001000000000356AAA,2024-11-25,2025-11-24,12,2422.08,3
800000000000358AAA,001000000000358AAA,2024-08-15,2025-08-14,12,4530.96,6
800000000000359AAA,001000000000359AAA,2025-08-04,2028-08-03,36,20407.20,10
800000000000361AAA,001000000000361AAA,2025-06-06,2027-06-05,24,1989.84,2
800000000000362AAA,001000000000362AAA,2024-11-18,2026-11-17,24,11595.60,6
800000000000363AAA,001000000000363AAA,2025-03-10,2026-03-09,12,11286.00,6
800000000000364AAA,001000000000364AAA,2025-01-29,2026-01-28,12,11060.64,6
800000000000365AAA,001000000000365AAA,2024-05-02,2025-05-01,12,19559.04,8
800000000000369AAA,001000000000369AAA,2022-05-02,2025-05-01,36,18140.40,5
800000000000370AAA,001000000000370AAA,2023-08-18,2024-08-17,12,7444.80,3
800000000000371AAA,001000000000371AAA,2025-05-20,2026-05-19,12,7815.60,3
800000000000373AAA,001000000000373AAA,2026-01-21,2028-01-20,24,2343.60,3
800000000000374AAA,001000000000374AAA,2026-02-12,2027-02-11,12,16049.28,4
800000000000376AAA,001000000000376AAA,2024-01-27,2026-01-26,24,15465.60,3
800000000000377AAA,001000000000377AAA,2025-10-04,2026-10-03,12,41750.64,6
800000000000378AAA,001000000000378AAA,2024-07-17,2025-07-16,12,2505.24,3
800000000000380AAA,001000000000380AAA,2026-05-05,2027-05-04,12,5250.00,2
800000000000382AAA,001000000000382AAA,2026-01-04,2027-01-03,12,14504.64,4
800000000000383AAA,001000000000383AAA,2026-02-05,2027-02-04,12,13253.76,6
800000000000384AAA,001000000000384AAA,2023-09-17,2024-09-16,12,13230.00,2
800000000000386AAA,001000000000386AAA,2026-04-23,2029-04-22,36,1926.48,1
800000000000388AAA,001000000000388AAA,2025-05-29,2027-05-28,24,8043.00,1
800000000000389AAA,001000000000389AAA,2025-04-17,2026-04-16,12,9766.08,4
800000000000391AAA,001000000000391AAA,2025-10-11,2026-10-10,12,5114.16,3
800000000000392AAA,001000000000392AAA,2026-01-08,2027-01-07,12,33084.24,14
800000000000395AAA,001000000000395AAA,2025-02-06,2026-02-05,12,33214.08,4
800000000000397AAA,001000000000397AAA,2022-07-29,2025-07-28,36,10046.40,5
800000000000398AAA,001000000000398AAA,2022-07-17,2024-07-16,24,15519.36,8
800000000000399AAA,001000000000399AAA,2026-05-12,2027-05-11,12,4500.00,4
800000000000400AAA,001000000000400AAA,2024-10-18,2026-10-17,24,4520.40,2
800000000000401AAA,001000000000401AAA,2025-10-30,2026-10-29,12,1640.16,2
800000000000402AAA,001000000000402AAA,2024-06-19,2025-06-18,12,3375.00,3
800000000000403AAA,001000000000403AAA,2026-04-26,2027-04-25,12,7527.96,3
800000000000404AAA,001000000000404AAA,2025-06-30,2027-06-29,24,8204.88,2
800000000000406AAA,001000000000406AAA,2024-09-19,2025-09-18,12,633.36,1
800000000000408AAA,001000000000408AAA,2024-07-29,2025-07-28,12,5250.00,2
800000000000410AAA,001000000000410AAA,2025-09-27,2027-09-26,24,11243.40,5
800000000000411AAA,001000000000411AAA,2024-09-06,2026-09-05,24,2768.64,4
800000000000412AAA,001000000000412AAA,2026-05-08,2027-05-07,12,7823.52,4
800000000000416AAA,001000000000416AAA,2025-12-07,2026-12-06,12,7979.40,3
800000000000418AAA,001000000000418AAA,2024-10-29,2025-10-28,12,3136.32,4
800000000000419AAA,001000000000419AAA,2025-04-16,2026-04-15,12,28254.24,12
